IMDb Top 250 Movies

Rank & Title	IMDb Rating	Your Rating	
The Shawshank Redemption	1. The Shawshank Redemption (1994)	9.2		
The Godfather	2. The Godfather (1972)	9.2		
The Dark Knight	3. The Dark Knight (2008)	9.0		
The Godfather: Part II	4. The Godfather: Part II (1974)	9.0		
12 Angry Men	5. 12 Angry Men (1957)	8.9		
Schindler's List	6. Schindler's List (1993)	8.9		
The Lord of the Rings: The Return of the King	7. The Lord of the Rings: The Return of the King (2003)	8.9		
Pulp Fiction	8. Pulp Fiction (1994)	8.9		
The Lord of the Rings: The Fellowship of the Ring	9. The Lord of the Rings: The Fellowship of the Ring (2001)	8.8		
The Good, the Bad and the Ugly	10. The Good, the Bad and the Ugly (1966)	8.8		
Forrest Gump	11. Forrest Gump (1994)	8.8		
Fight Club	12. Fight Club (1999)	8.8		
Inception	13. Inception (2010)	8.7		
The Lord of the Rings: The Two Towers	14. The Lord of the Rings: The Two Towers (2002)	8.7		
Star Wars: Episode V - The Empire Strikes Back	15. Star Wars: Episode V - The Empire Strikes Back (1980)	8.7		
The Matrix	16. The Matrix (1999)	8.7		
Goodfellas	17. Goodfellas (1990)	8.7		
One Flew Over the Cuckoo's Nest	18. One Flew Over the Cuckoo's Nest (1975)	8.6		
Se7en	19. Se7en (1995)	8.6		
Seven Samurai	20. Seven Samurai (1954)	8.6		
It's a Wonderful Life	21. It's a Wonderful Life (1946)	8.6		
The Silence of the Lambs	22. The Silence of the Lambs (1991)	8.6		
City of God	23. City of God (2002)	8.6		
Saving Private Ryan	24. Saving Private Ryan (1998)	8.6		
Life Is Beautiful	25. Life Is Beautiful (1997)	8.6		
The Green Mile	26. The Green Mile (1999)	8.6		
Star Wars	27. Star Wars (1977)	8.6		
Interstellar	28. Interstellar (2014)	8.6		
Terminator 2: Judgment Day	29. Terminator 2: Judgment Day (1991)	8.5		
Back to the Future	30. Back to the Future (1985)	8.5		
Spirited Away	31. Spirited Away (2001)	8.5		
Psycho	32. Psycho (1960)	8.5		
The Pianist	33. The Pianist (2002)	8.5		
Léon: The Professional	34. Léon: The Professional (1994)	8.5		
Parasite	35. Parasite (2019)	8.5		
The Lion King	36. The Lion King (1994)	8.5		
American History X	37. American History X (1998)	8.5		
Gladiator	38. Gladiator (2000)	8.5		
The Usual Suspects	39. The Usual Suspects (1995)	8.5		
The Departed	40. The Departed (2006)	8.5		
The Prestige	41. The Prestige (2006)	8.5		
